NEE,PAR,Fdif,PARdif,PARdir,Ta,Ts,Vpd,RH,Ustar,VWC_5,VWC_25,VWC_50,VWC_100,VWC_150,VWC_200
-22.0605,615.2448775,0.722740557,535.4141882,205.3968578,30.028,24.56,14.62827669,57.705,0.37865,0.0925,0.033,0.033,0.038,0.055833333,0.132
-7.2616,451.6988595,0.621584583,384.6192041,234.1529064,34.659,24.748,31.64409509,27.83666667,0.38589,0.032666667,0.033,0.034,0.036166667,0.059,0.156
-20.592,908.8275811,0.567020159,622.4904338,475.3372605,31.031,25.8685,16.55899222,54.56333333,0.39744,0.080666667,0.033,0.033,0.037,0.055,0.131
-24.288,839.7183308,0.786661149,687.3755967,186.41307,29.9155,24.7135,14.76953697,57.04333333,0.401125,0.0935,0.033,0.0335,0.037666667,0.056,0.132
-2.006,79.27819522,0.84385747,180.3673515,33.37413683,27.8685,22.2935,16.26197479,47.39666667,0.409885,0.043833333,0.033,0.033,0.037333333,0.052,0.125
-14.217,1153.732878,0.367137855,485.7875358,837.3872038,32.539,23.1385,26.94526914,31.55333333,0.410985,0.043166667,0.033,0.034,0.0355,0.054,0.128
-9.8154,325.9918917,0.833125906,411.8771799,82.49849224,30.0565,23.5815,19.51270512,43.66666667,0.41445,0.033,0.033,0.034,0.0375,0.059,0.152666667
-15.905,1384.073272,0.336203517,505.1768145,997.4154833,31.149,23.7365,25.20911384,31.22,0.414925,0.047,0.033,0.034,0.038833333,0.054166667,0.13
-20.935,829.6363276,0.86256109,715.6051188,114.0232137,30.0115,24.01,19.35225662,44.03,0.422065,0.032,0.033,0.034,0.035166667,0.059666667,0.153
-32.048,1188.3264,0.631526484,824.0571651,480.8084034,28.398,23.603,16.20394416,48.97833333,0.42308,0.04,0.033,0.034,0.033833333,0.052333333,0.126
-29.025,1338.637325,0.425295988,634.0207302,856.7545146,30.126,24.145,22.85853761,34.25,0.42742,0.042,0.033,0.034,0.033,0.054833333,0.128
-0.4384,159.7855465,0.668728208,194.4298782,96.31586246,31.434,21.7285,21.87664577,41.2,0.444465,0.043166667,0.033,0.033,0.037833333,0.053,0.127
-24.657,1340.7006,0.426589644,613.1595164,824.1925736,31.5715,24.3,23.95114542,36.06166667,0.44465,0.031166667,0.033,0.034,0.0395,0.057833333,0.139166667
-14.9995,547.4510033,0.838068654,573.2046626,110.7544136,30.131,23.7915,19.31779563,44.43666667,0.445205,0.033,0.033,0.034,0.036666667,0.059,0.153
-15.829,1153.045084,0.454515532,554.4541994,665.4253429,32.6425,23.6065,30.8426685,22.06666667,0.45544,0.036333333,0.033,0.034,0.033,0.05,0.121
