Rn,PAR,fdif,PARdif,PARdir,Ta,Ts,Vpd,RH,Ustar,O3,VWC5,VWC25,VWC50,VWC100,VWC150,VWC200,NEE
-135.4196718,51.99869722,-82.4099095,-29.3254487,47.55269079,-29.31162693,-64.4320316,289.8218509,-46.80183203,149.5851705,-130.4181314,2.700726827,-122.79054,57.38651664,-15.98397616,-62.81970235,-36.87582585,0.421888847
-153.8371215,85.7135028,-11.42266188,-74.45666787,1.790711714,-20.63131395,-73.48310678,160.5181987,63.82700128,15.76356972,-104.2769175,19.74047471,-103.3294171,52.05670393,-16.78142462,36.56070013,-35.7707544,0.726940587
-116.9008938,-12.120681,-73.52659762,-76.10333048,-5.770716018,-18.36258669,0.393734998,178.07633,-27.18047948,77.91324553,-114.1402696,16.60375506,-5.866454467,68.62302736,50.61897697,-99.81402128,-35.18052603,0.40235962
-775.1189587,411.0276894,263.0554312,-31.59863053,-42.84677295,353.8774058,-116.4887627,-789.6505264,322.5308432,-961.1150614,-14.7912582,290.3738714,-57.43706361,-170.4292037,602.3844391,614.879718,-34.03211378,0.694026286
21.85416909,-46.90832856,1.158925866,-71.21793621,39.16968054,19.12961823,30.42996198,-63.90573964,26.34532228,-21.29961693,46.88741532,0.461885593,-64.43344184,49.66905655,-45.85999442,-19.05970391,-32.96927024,0.595169555
133.0147511,-72.19201466,11.623691,83.80689395,-31.07863093,-56.20866534,-41.88720043,-114.0593695,-13.14506774,41.37019719,177.7956086,-34.25604376,-18.41855935,-44.99426283,42.15432498,-43.42010804,-32.09143882,0.309619169
-137.0879739,4.633392255,-14.20359721,-2.441760225,10.46994811,27.0560385,-30.15687691,242.3371387,-58.64307868,93.97416623,-111.8326136,1.167956154,-106.6684372,65.54074601,2.489101602,-30.91974275,-30.69766798,0.50993509
134.7149527,1.236595291,-36.79732258,92.21462868,-12.52476416,-94.21617147,-2.687154062,-95.56970932,20.85867598,6.406457703,70.27278597,67.5108033,73.15983394,-80.60696448,-20.58181659,-58.99558089,-30.35760174,0.686585615
16.90161055,-37.99368181,9.087090763,-18.34011898,0.264498936,7.203674422,35.51282012,-41.01637163,10.7292964,-38.27584811,36.06937353,5.540123435,43.8713854,-12.02885463,-51.87573836,-27.74532694,-29.92985777,0.588058471
-12.62151227,120.2110057,-10.09753632,107.7507703,25.25652767,-71.90429819,-41.74046145,131.1624573,-113.4775298,-38.04045284,-83.23511469,-30.76237173,28.35343373,-67.8891254,-44.95195573,-31.01271083,-28.88070113,0.420112155
